Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Fault tolerant file models for parallel file systems: introducing distribution patterns for every file,The Journal of Supercomputing,,47,3,10.1007/s11227-008-0199-8,A. CalderónF. García-CarballeiraL. M. SánchezJ. D. GarcíaJ. Fernandez,2009,http://link.springer.com/article/10.1007/s11227-008-0199-8,Article
A Rule-Based System Implementing a Method for Translating FOL Formulas into NL Sentences,Rule Interchange and Applications,,,,10.1007/978-3-642-04985-9_17,Aikaterini MpagouliIoannis Hatzilygeroudis,2009,http://link.springer.com/chapter/10.1007/978-3-642-04985-9_17,Chapter
A Riemannian Scalar Measure for Diffusion Tensor Images,Computer Analysis of Images and Patterns,,,,10.1007/978-3-642-03767-2_51,Andrea FusterLaura AstolaLuc Florack,2009,http://link.springer.com/chapter/10.1007/978-3-642-03767-2_51,Chapter
Performance evaluation of a discovery and scheduling protocol for multihop ad hoc mobile grids,Journal of the Brazilian Computer Society,,15,4,10.1007/BF03194510,Antônio Tadeu Azevedo GomesArtur ZivianiLuciana dos Santos LimaMarkus Endler,2009,http://link.springer.com/article/10.1007/BF03194510,Article
Printing in Ubiquitous Computing Environments,Ubiquitous Intelligence and Computing,,,,10.1007/978-3-642-02830-4_8,Athanasios KarapantelakisAlisa DevlicMohammad ZarifySaltanat Khamit,2009,http://link.springer.com/chapter/10.1007/978-3-642-02830-4_8,Chapter
"Multi-tiered S-SOA, Parameter-Driven New Islamic Syariah Products of Holistic Islamic Banking System (HiCORE): Virtual Banking Environment",Visual Informatics: Bridging Research and Practice,,,,10.1007/978-3-642-05036-7_28,B. Z. HalimahA. AzlinaT. M. SembokI. SufianM. N. Sharul AzmanA. B. AzuralizaA. O. ZulaihaO. NazliaA. SalwaniA. SanepM. T. HailaniM. Z. ZaherJ. AzizahM. Y. Nor FaezahW. O. ChooChew Abdullah,2009,http://link.springer.com/chapter/10.1007/978-3-642-05036-7_28,Chapter
Security Authentication for U-Health Application Services,Communication and Networking,,,,10.1007/978-3-642-10844-0_3,Byeong Ho AhnJinkeun HongDonghoon Lee,2009,http://link.springer.com/chapter/10.1007/978-3-642-10844-0_3,Chapter
iPhone,Enterprise Mac Administrator’s Guide,,,,10.1007/978-1-4302-2444-0_10,Charles S. Edge Jr.Beau HunterZack Smith,2009,http://link.springer.com/chapter/10.1007/978-1-4302-2444-0_10,Chapter
Implementation of Virtualization Oriented Architecture: A Healthcare Industry Case Study,IT Revolutions,,,,10.1007/978-3-642-03978-2_3,G Subrahmanya VRK RaoJinka ParthasarathiSundararaman KarthikGVN Appa RaoSuresh Ganesan,2009,http://link.springer.com/chapter/10.1007/978-3-642-03978-2_3,Chapter
When Compromised Readers Meet RFID,Information Security Applications,,,,10.1007/978-3-642-10838-9_4,Gildas AvoineCédric LauradouxTania Martin,2009,http://link.springer.com/chapter/10.1007/978-3-642-10838-9_4,Chapter
DETERMINATION OF IRON IN MILK POWDERMICROWAVE DIGESTION AND FLAME ATOMICABSORPTION SPECTROPHOTOMETRY,"Computer and Computing Technologies in Agriculture II, Volume 3",,,,10.1007/978-1-4419-0213-9_13,Guangyuan ZhaoBo Li,2009,http://link.springer.com/chapter/10.1007/978-1-4419-0213-9_13,Chapter
Optimal inter-object correlation when replicating for availability,Distributed Computing,,21,5,10.1007/s00446-008-0072-2,Haifeng YuPhillip B. Gibbons,2009,http://link.springer.com/article/10.1007/s00446-008-0072-2,Article
SocioNet: A Context-Aware Approach for Lowering the Communication Barrier,On the Move to Meaningful Internet Systems: OTM 2009 Workshops,,,,10.1007/978-3-642-05290-3_57,Igor PernekKarin Anna Hummel,2009,http://link.springer.com/chapter/10.1007/978-3-642-05290-3_57,Chapter
Security Issues for P2P-Based Voice- and Video-Streaming Applications,iNetSec 2009 – Open Research Problems in Network Security,,,,10.1007/978-3-642-05437-2_10,Jan Seedorf,2009,http://link.springer.com/chapter/10.1007/978-3-642-05437-2_10,Chapter
Kurt Lewin,Systems Thinkers,,,,10.1007/978-1-84882-525-3_27,Magnus RamageKaren Shipp,2009,http://link.springer.com/chapter/10.1007/978-1-84882-525-3_27,Chapter
A Multicast-Based Enterprise VoIP Service Architecture: MEVA,Future Multimedia Networking,,,,10.1007/978-3-642-02472-6_4,Mohamed Boucadair,2009,http://link.springer.com/chapter/10.1007/978-3-642-02472-6_4,Chapter
Fuzzy Dependencies between Preparedness and Learning Outcome,Artificial Intelligence Applications and Innovations III,,,,10.1007/978-1-4419-0221-4_63,S. EnchevaS. Tumin,2009,http://link.springer.com/chapter/10.1007/978-1-4419-0221-4_63,Chapter
Effectiveness of Business Alliances Partnerships,New Directions in Intelligent Interactive Multimedia Systems and Services - 2,,,,10.1007/978-3-642-02937-0_5,Sylvia EnchevaSharil Tumin,2009,http://link.springer.com/chapter/10.1007/978-3-642-02937-0_5,Chapter
High Frequency Assessment from Multiresolution Analysis,Computational Science – ICCS 2009,,,,10.1007/978-3-642-01970-8_42,Tássio Knop de CastroEder de Almeida PerezVirgínia Fernandes MotaAlexandre ChapiroMarcelo Bernardes VieiraWilhelm Passarella Freire,2009,http://link.springer.com/chapter/10.1007/978-3-642-01970-8_42,Chapter
